Vardas              Pavardė             Galutinis (Vid.)    Galutinis (Med.)   
Vardas993           Pavarde993          9.04                8.00                
Vardas2391          Pavarde2391         9.01                9.00                
Vardas9980          Pavarde9980         9.01                8.00                
Vardas36            Pavarde36           8.91                8.00                
Vardas5430          Pavarde5430         8.88                8.00                
Vardas1703          Pavarde1703         8.85                9.00                
Vardas8201          Pavarde8201         8.85                8.50                
Vardas2412          Pavarde2412         8.85                9.00                
Vardas5823          Pavarde5823         8.85                8.00                
Vardas772           Pavarde772          8.85                7.00                
Vardas9228          Pavarde9228         8.83                8.00                
Vardas6653          Pavarde6653         8.83                8.00                
Vardas6264          Pavarde6264         8.83                7.00                
Vardas3424          Pavarde3424         8.83                7.50                
Vardas997           Pavarde997          8.83                7.50                
Vardas8957          Pavarde8957         8.83                8.00                
Vardas9638          Pavarde9638         8.83                8.00                
Vardas8322          Pavarde8322         8.83                8.00                
Vardas7904          Pavarde7904         8.83                8.50                
Vardas7459          Pavarde7459         8.80                8.00                
Vardas4608          Pavarde4608         8.80                8.00                
Vardas2394          Pavarde2394         8.80                8.00                
Vardas975           Pavarde975          8.80                7.50                
Vardas2525          Pavarde2525         8.80                9.00                
Vardas6612          Pavarde6612         8.80                8.00                
Vardas3344          Pavarde3344         8.80                7.00                
Vardas3684          Pavarde3684         8.77                7.50                
Vardas8487          Pavarde8487         8.77                9.00                
Vardas2697          Pavarde2697         8.77                7.50                
Vardas4928          Pavarde4928         8.77                7.50                
Vardas1102          Pavarde1102         8.77                7.50                
Vardas1274          Pavarde1274         8.77                8.00                
Vardas8478          Pavarde8478         8.77                7.50                
Vardas1413          Pavarde1413         8.77                7.50                
Vardas7392          Pavarde7392         8.77                8.50                
Vardas2018          Pavarde2018         8.77                7.50                
Vardas4084          Pavarde4084         8.77                7.50                
Vardas7583          Pavarde7583         8.75                8.00                
Vardas5279          Pavarde5279         8.75                7.00                
Vardas4172          Pavarde4172         8.75                8.50                
Vardas3724          Pavarde3724         8.75                8.00                
Vardas2929          Pavarde2929         8.75                7.00                
Vardas6528          Pavarde6528         8.75                8.00                
Vardas5304          Pavarde5304         8.75                8.50                
Vardas2105          Pavarde2105         8.72                7.00                
Vardas5348          Pavarde5348         8.72                7.50                
Vardas8223          Pavarde8223         8.72                8.50                
Vardas3993          Pavarde3993         8.72                8.00                
Vardas8922          Pavarde8922         8.72                8.00                
Vardas3641          Pavarde3641         8.72                8.00                
Vardas3689          Pavarde3689         8.72                7.00                
Vardas8663          Pavarde8663         8.72                8.50                
Vardas243           Pavarde243          8.72                7.50                
Vardas7513          Pavarde7513         8.72                7.50                
Vardas3549          Pavarde3549         8.72                7.00                
Vardas4476          Pavarde4476         8.72                8.50                
Vardas1241          Pavarde1241         8.72                8.00                
Vardas6948          Pavarde6948         8.69                7.50                
Vardas7401          Pavarde7401         8.69                7.50                
Vardas1564          Pavarde1564         8.69                6.50                
Vardas656           Pavarde656          8.69                7.50                
Vardas5149          Pavarde5149         8.69                7.50                
Vardas630           Pavarde630          8.69                6.00                
Vardas5016          Pavarde5016         8.69                6.50                
Vardas4632          Pavarde4632         8.69                8.00                
Vardas5730          Pavarde5730         8.69                7.50                
Vardas8238          Pavarde8238         8.69                7.50                
Vardas5909          Pavarde5909         8.67                7.50                
Vardas3920          Pavarde3920         8.67                8.00                
Vardas8084          Pavarde8084         8.67                7.50                
Vardas9378          Pavarde9378         8.67                8.00                
Vardas1676          Pavarde1676         8.67                6.50                
Vardas5847          Pavarde5847         8.67                7.00                
Vardas2236          Pavarde2236         8.67                7.50                
Vardas7613          Pavarde7613         8.67                7.50                
Vardas9834          Pavarde9834         8.67                7.50                
Vardas8577          Pavarde8577         8.67                8.00                
Vardas9934          Pavarde9934         8.67                7.00                
Vardas1067          Pavarde1067         8.64                7.00                
Vardas9530          Pavarde9530         8.64                7.00                
Vardas5940          Pavarde5940         8.64                6.50                
